tweets,a,b,c,d,e,f,g,h,i,f
"GreenResponse;2011-04-29 17:36;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says: By Kim Chipman and Brian K. Sullivan - Fri Apr 29... http://bit.ly/jpXftO"";;;;""64095763675885568"";https://twitter.com/GreenResponse/status/64095763675885568 ",,,,,"GreenResponse;2011-04-29 17:36;0;0;""Disaster Needed for US to Act on Climate Change",," Stavins Says: By Kim Chipman and Brian K. Sullivan - Fri Apr 29... http://bit.ly/jpXftO"";;;;""64095763675885568"";https://twitter.com/GreenResponse/status/64095763675885568",,"GreenResponse;2011-04-29 17:36;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says: By Kim Chipman and Brian K. Sullivan - Fri Apr 29... http://bit.ly/jpXftO"";;;;""64095763675885568"";https://twitter.com/GreenResponse/status/64095763675885568",
"FloorCleanerJoe;2011-04-29 17:36;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says http://bit.ly/lE5t3H"";;;;""64095758068101121"";https://twitter.com/FloorCleanerJoe/status/64095758068101121 ",,,,,"FloorCleanerJoe;2011-04-29 17:36;0;0;""Disaster Needed for US to Act on Climate Change",," Stavins Says http://bit.ly/lE5t3H"";;;;""64095758068101121"";https://twitter.com/FloorCleanerJoe/status/64095758068101121",,"FloorCleanerJoe;2011-04-29 17:36;0;0;""Disaster Needed for US to Act on Climate Change  Stavins Says http://bit.ly/lE5t3H"";;;;""64095758068101121"";https://twitter.com/FloorCleanerJoe/status/64095758068101121",
"jilevin_feeds;2011-04-29 17:35;0;0;""jl Matt Yglasias: Climate Change Is Not Interested In Who Deserves What http://bit.ly/jUfx34 # p2 # topprog"";;;# #;""64095587938734080"";https://twitter.com/jilevin_feeds/status/64095587938734080  ",,,,,"jilevin_feeds;2011-04-29 17:35;0;0;""jl Matt Yglasias: Climate Change Is Not Interested In Who Deserves What http://bit.ly/jUfx34 # p2 # topprog"";;;# #;""64095587938734080"";https://twitter.com/jilevin_feeds/status/64095587938734080",,,,"jilevin_feeds;2011-04-29 17:35;0;0;""jl Matt Yglasias: Climate Change Is Not Interested In Who Deserves What http://bit.ly/jUfx34 # p2 # topprog"";;;# #;""64095587938734080"";https://twitter.com/jilevin_feeds/status/64095587938734080 ",
"deans2cents;2011-04-29 17:35;0;0;""Climate Changes: Source:  IFRC Country:  Tajikista... http://bit.ly/ioowS9 # tcot # GOP"";;;# #;""64095503830364161"";https://twitter.com/deans2cents/status/64095503830364161  ",,,,,"deans2cents;2011-04-29 17:35;0;0;""Climate Changes: Source:  IFRC Country:  Tajikista... http://bit.ly/ioowS9 # tcot # GOP"";;;# #;""64095503830364161"";https://twitter.com/deans2cents/status/64095503830364161",,,,"deans2cents;2011-04-29 17:35;0;0;""Climate Changes: Source:  IFRC Country:  Tajikista... http://bit.ly/ioowS9 # tcot # GOP"";;;# #;""64095503830364161"";https://twitter.com/deans2cents/status/64095503830364161 ",
"ImShravanPandey;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  and they m... http://huff.to/mIWaQx"";;;;""64095482493931520"";https://twitter.com/ImShravanPandey/status/64095482493931520 ",,,,,"ImShravanPandey;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary",," and they m... http://huff.to/mIWaQx"";;;;""64095482493931520"";https://twitter.com/ImShravanPandey/status/64095482493931520",,"ImShravanPandey;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  and they m... http://huff.to/mIWaQx"";;;;""64095482493931520"";https://twitter.com/ImShravanPandey/status/64095482493931520",
"solemu;2011-04-29 17:35;0;0;""# Knowledge sharing through # participatory video. Adaptating to climate change http://tinyurl.com/3seqeky # video4change # climatechange"";;;# # # #;""64095450503970816"";https://twitter.com/solemu/status/64095450503970816  ",,,,,"solemu;2011-04-29 17:35;0;0;""# Knowledge sharing through # participatory video. Adaptating to climate change http://tinyurl.com/3seqeky # video4change # climatechange"";;;# # # #;""64095450503970816"";https://twitter.com/solemu/status/64095450503970816",,,,"solemu;2011-04-29 17:35;0;0;""# Knowledge sharing through # participatory video. Adaptating to climate change http://tinyurl.com/3seqeky # video4change # climatechange"";;;# # # #;""64095450503970816"";https://twitter.com/solemu/status/64095450503970816 ",
"Srendpy;2011-04-29 17:35;0;0;""How Would You Save The World? New Game Puts Climate Change In Your Hands: http://www.care2.com/causes/global-warming/blog/"";;;;""64095445290459136"";https://twitter.com/Srendpy/status/64095445290459136  ",,,,,"Srendpy;2011-04-29 17:35;0;0;""How Would You Save The World? New Game Puts Climate Change In Your Hands: http://www.care2.com/causes/global-warming/blog/"";;;;""64095445290459136"";https://twitter.com/Srendpy/status/64095445290459136",,,,"Srendpy;2011-04-29 17:35;0;0;""How Would You Save The World? New Game Puts Climate Change In Your Hands: http://www.care2.com/causes/global-warming/blog/"";;;;""64095445290459136"";https://twitter.com/Srendpy/status/64095445290459136 ",
"ImShravanPandey;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  and they may be coming to a town..."";;;;""64095381973245952"";https://twitter.com/ImShravanPandey/status/64095381973245952 ",,,,,"ImShravanPandey;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary",," and they may be coming to a town..."";;;;""64095381973245952"";https://twitter.com/ImShravanPandey/status/64095381973245952",,"ImShravanPandey;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  and they may be coming to a town..."";;;;""64095381973245952"";https://twitter.com/ImShravanPandey/status/64095381973245952",
"sitfu;2011-04-29 17:35;0;0;""sitfu.com Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  ... http://huff.to/mIWaQx"";;;;""64095381826437120"";https://twitter.com/sitfu/status/64095381826437120 ",,,,,"sitfu;2011-04-29 17:35;0;0;""sitfu.com Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary",," ... http://huff.to/mIWaQx"";;;;""64095381826437120"";https://twitter.com/sitfu/status/64095381826437120",,"sitfu;2011-04-29 17:35;0;0;""sitfu.com Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  ... http://huff.to/mIWaQx"";;;;""64095381826437120"";https://twitter.com/sitfu/status/64095381826437120",
"LittaBird;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  and they m... http://huff.to/mlI6Oc"";;;;""64095379838337024"";https://twitter.com/LittaBird/status/64095379838337024 ",,,,,"LittaBird;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary",," and they m... http://huff.to/mlI6Oc"";;;;""64095379838337024"";https://twitter.com/LittaBird/status/64095379838337024",,"LittaBird;2011-04-29 17:35;0;0;""Brown Recluse Spiders May Spread Across U.S. Due To Climate Change: Brown recluse spiders are scary  and they m... http://huff.to/mlI6Oc"";;;;""64095379838337024"";https://twitter.com/LittaBird/status/64095379838337024",
"wordsofpower;2011-04-29 17:34;0;0;""Hello? Extreme weather costs lives  health  economy http://climateprogress.org/2011/04/29/2010-extreme-weather/ … # climatechange # p2 # humanrights"";;;# # #;""64095357470121984"";https://twitter.com/wordsofpower/status/64095357470121984",," economy http://climateprogress.org/2011/04/29/2010-extreme-weather/ … # climatechange # p2 # humanrights"";;;# # #;""64095357470121984"";https://twitter.com/wordsofpower/status/64095357470121984",,,"wordsofpower;2011-04-29 17:34;0;0;""Hello? Extreme weather costs lives",, health,,"wordsofpower;2011-04-29 17:34;0;0;""Hello? Extreme weather costs lives  health",
"TubScrubber;2011-04-29 17:34;0;0;""Climate change  Senate reform top questions http://tinyurl.com/3dcmxg8"";;;;""64095332845363201"";https://twitter.com/TubScrubber/status/64095332845363201 ",,,,,"TubScrubber;2011-04-29 17:34;0;0;""Climate change",," Senate reform top questions http://tinyurl.com/3dcmxg8"";;;;""64095332845363201"";https://twitter.com/TubScrubber/status/64095332845363201",,"TubScrubber;2011-04-29 17:34;0;0;""Climate change  Senate reform top questions http://tinyurl.com/3dcmxg8"";;;;""64095332845363201"";https://twitter.com/TubScrubber/status/64095332845363201",
"ClimateTreaty;2011-04-29 17:34;1;0;""Hot Topic: A lesson in climate change and chili peppers http://bit.ly/l4ZZl0"";;;;""64095329909350401"";https://twitter.com/ClimateTreaty/status/64095329909350401  ",,,,,"ClimateTreaty;2011-04-29 17:34;1;0;""Hot Topic: A lesson in climate change and chili peppers http://bit.ly/l4ZZl0"";;;;""64095329909350401"";https://twitter.com/ClimateTreaty/status/64095329909350401",,,,"ClimateTreaty;2011-04-29 17:34;1;0;""Hot Topic: A lesson in climate change and chili peppers http://bit.ly/l4ZZl0"";;;;""64095329909350401"";https://twitter.com/ClimateTreaty/status/64095329909350401 ",
"ritesharya;2011-04-29 17:34;0;0;""Dr. Arya's  Abstract “CLIMATE CHANGE AND NEW WORLD ORDER” has been accepted in Climate 2011 http://www.klima2011.net/en/guidelines/  via @ AddThis"";;@;;""64095309294342144"";https://twitter.com/ritesharya/status/64095309294342144 ",,,,,"ritesharya;2011-04-29 17:34;0;0;""Dr. Arya's",," Abstract “CLIMATE CHANGE AND NEW WORLD ORDER” has been accepted in Climate 2011 http://www.klima2011.net/en/guidelines/  via @ AddThis"";;@;;""64095309294342144"";https://twitter.com/ritesharya/status/64095309294342144",,"ritesharya;2011-04-29 17:34;0;0;""Dr. Arya's  Abstract “CLIMATE CHANGE AND NEW WORLD ORDER” has been accepted in Climate 2011 http://www.klima2011.net/en/guidelines/  via @ AddThis"";;@;;""64095309294342144"";https://twitter.com/ritesharya/status/64095309294342144",
"wordsofpower;2011-04-29 17:33;0;0;""Women must get their fair share of climate finance - AlertNet http://www.trust.org/alertnet/blogs/climate-conversations/women-must-get-their-fair-share-of-climate-finance/ … # climatechange # p2"";;;# #;""64095095862988800"";https://twitter.com/wordsofpower/status/64095095862988800  ",,,,,"wordsofpower;2011-04-29 17:33;0;0;""Women must get their fair share of climate finance - AlertNet http://www.trust.org/alertnet/blogs/climate-conversations/women-must-get-their-fair-share-of-climate-finance/ … # climatechange # p2"";;;# #;""64095095862988800"";https://twitter.com/wordsofpower/status/64095095862988800",,,,"wordsofpower;2011-04-29 17:33;0;0;""Women must get their fair share of climate finance - AlertNet http://www.trust.org/alertnet/blogs/climate-conversations/women-must-get-their-fair-share-of-climate-finance/ … # climatechange # p2"";;;# #;""64095095862988800"";https://twitter.com/wordsofpower/status/64095095862988800 ",
"RTTopics;2011-04-29 17:33;0;0;""Blaming tornados on climate change ""deniers"" http://rttopics.com/cli:3 # rtt # topics # talk"";;;# # #;""64095080377626626"";https://twitter.com/RTTopics/status/64095080377626626  ",,,,,"RTTopics;2011-04-29 17:33;0;0;""Blaming tornados on climate change ""deniers"" http://rttopics.com/cli:3 # rtt # topics # talk"";;;# # #;""64095080377626626"";https://twitter.com/RTTopics/status/64095080377626626",,,,"RTTopics;2011-04-29 17:33;0;0;""Blaming tornados on climate change ""deniers"" http://rttopics.com/cli:3 # rtt # topics # talk"";;;# # #;""64095080377626626"";https://twitter.com/RTTopics/status/64095080377626626 ",
"AutonomousUAV;2011-04-29 17:33;0;0;""Climate Change Spells Extinction for a Mountain Species Research Shows - Reuters http://reut.rs/l8vXsE - # ClimateChange # Climate"";;;# #;""64095026027827200"";https://twitter.com/AutonomousUAV/status/64095026027827200  ",,,,,"AutonomousUAV;2011-04-29 17:33;0;0;""Climate Change Spells Extinction for a Mountain Species Research Shows - Reuters http://reut.rs/l8vXsE - # ClimateChange # Climate"";;;# #;""64095026027827200"";https://twitter.com/AutonomousUAV/status/64095026027827200",,,,"AutonomousUAV;2011-04-29 17:33;0;0;""Climate Change Spells Extinction for a Mountain Species Research Shows - Reuters http://reut.rs/l8vXsE - # ClimateChange # Climate"";;;# #;""64095026027827200"";https://twitter.com/AutonomousUAV/status/64095026027827200 ",
"XanxiuZ;2011-04-29 17:33;0;0;""@ emokidsloveme Climate change deniers = birthers = pathological mindsets. They'll never believe because it contradicts what they believe."";;@;;""64094996793536512"";https://twitter.com/XanxiuZ/status/64094996793536512  ",,,,,"XanxiuZ;2011-04-29 17:33;0;0;""@ emokidsloveme Climate change deniers = birthers = pathological mindsets. They'll never believe because it contradicts what they believe."";;@;;""64094996793536512"";https://twitter.com/XanxiuZ/status/64094996793536512",,,,"XanxiuZ;2011-04-29 17:33;0;0;""@ emokidsloveme Climate change deniers = birthers = pathological mindsets. They'll never believe because it contradicts what they believe."";;@;;""64094996793536512"";https://twitter.com/XanxiuZ/status/64094996793536512 ",
"mihaeahn;2011-04-29 17:33;2;0;""Conservatives lack environmental vision http://www.timescolonist.com/health/Conservatives+lack+environmental+vision/4695871/story.html … via @ AddThis # climate change"";;@;#;""64094934512312320"";https://twitter.com/mihaeahn/status/64094934512312320  ",,,,,"mihaeahn;2011-04-29 17:33;2;0;""Conservatives lack environmental vision http://www.timescolonist.com/health/Conservatives+lack+environmental+vision/4695871/story.html … via @ AddThis # climate change"";;@;#;""64094934512312320"";https://twitter.com/mihaeahn/status/64094934512312320",,,,"mihaeahn;2011-04-29 17:33;2;0;""Conservatives lack environmental vision http://www.timescolonist.com/health/Conservatives+lack+environmental+vision/4695871/story.html … via @ AddThis # climate change"";;@;#;""64094934512312320"";https://twitter.com/mihaeahn/status/64094934512312320 ",
"WePayItForward;2011-04-29 17:32;0;0;""If nothing can be blamed on 'climate change' is it happening? http://exm.nr/lefZII"";;;;""64094760624861184"";https://twitter.com/WePayItForward/status/64094760624861184  ",,,,,"WePayItForward;2011-04-29 17:32;0;0;""If nothing can be blamed on 'climate change' is it happening? http://exm.nr/lefZII"";;;;""64094760624861184"";https://twitter.com/WePayItForward/status/64094760624861184",,,,"WePayItForward;2011-04-29 17:32;0;0;""If nothing can be blamed on 'climate change' is it happening? http://exm.nr/lefZII"";;;;""64094760624861184"";https://twitter.com/WePayItForward/status/64094760624861184 ",
"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides Japan Earthquake Drops Land Below Sea level - Forbes (blog) http://bit.ly/iyGbad ; ) EarthAdapt.com"";;;#;""64094696816906240"";https://twitter.com/EarthAdapt/status/64094696816906240  ",,,,,"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides Japan Earthquake Drops Land Below Sea level - Forbes (blog) http://bit.ly/iyGbad ; ) EarthAdapt.com"";;;#;""64094696816906240"";https://twitter.com/EarthAdapt/status/64094696816906240",,,,"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides Japan Earthquake Drops Land Below Sea level - Forbes (blog) http://bit.ly/iyGbad ; ) EarthAdapt.com"";;;#;""64094696816906240"";https://twitter.com/EarthAdapt/status/64094696816906240 ",
"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides The scramble for survival - Sydney Morning Herald http://bit.ly/iigbtl ; ) EarthAdapt.com"";;;#;""64094695789297665"";https://twitter.com/EarthAdapt/status/64094695789297665  ",,,,,"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides The scramble for survival - Sydney Morning Herald http://bit.ly/iigbtl ; ) EarthAdapt.com"";;;#;""64094695789297665"";https://twitter.com/EarthAdapt/status/64094695789297665",,,,"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides The scramble for survival - Sydney Morning Herald http://bit.ly/iigbtl ; ) EarthAdapt.com"";;;#;""64094695789297665"";https://twitter.com/EarthAdapt/status/64094695789297665 ",
"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides Fear of Climate Change Falling Precipitously - The New American http://bit.ly/k6y0xN ; ) EarthAdapt.com"";;;#;""64094693872513024"";https://twitter.com/EarthAdapt/status/64094693872513024  ",,,,,"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides Fear of Climate Change Falling Precipitously - The New American http://bit.ly/k6y0xN ; ) EarthAdapt.com"";;;#;""64094693872513024"";https://twitter.com/EarthAdapt/status/64094693872513024",,,,"EarthAdapt;2011-04-29 17:32;0;0;""# ClimateChange Tides Fear of Climate Change Falling Precipitously - The New American http://bit.ly/k6y0xN ; ) EarthAdapt.com"";;;#;""64094693872513024"";https://twitter.com/EarthAdapt/status/64094693872513024 ",
